params:
  capacity 100.000
nodes:
  node01		81.076		48.398		29.432
  node02		76.325		89.092		9.253
  node03		32.633		89.958		20.342
  node04		80.362		29.550		18.668
  node05		59.060		55.675		29.126
  node06		91.686		38.990		75.403
  node07		80.318		75.569		75.109
  node08		90.188		69.920		66.582
  node09		61.471		62.299		33.565
  node10		26.088		81.445		47.996
  node11		49.060		52.252		30.730
  node12		2.007		54.814		18.116
  node13		29.253		10.112		41.826
  node14		24.452		70.852		57.771
  node15		41.795		28.451		77.382
  node16		53.389		34.983		87.940
  node17		78.225		96.914		31.097
  node18		79.165		93.273		34.453
  node19		88.487		69.594		56.387
  node20		89.888		26.490		28.420
  node21		66.934		94.988		33.622
  node22		59.782		16.955		14.034
  node23		83.588		60.085		76.954
  node24		68.589		68.974		29.564
  node25		81.937		60.061		72.473
  node26		92.231		42.479		36.819
  node27		96.349		98.102		93.069
  node28		75.642		29.818		49.139
  node29		81.860		49.520		31.396
  node30		99.692		95.858		14.470
  node31		69.736		92.519		32.652
  node32		14.022		0.278		85.744
  node33		81.678		49.679		20.048
  node34		62.279		37.849		77.068
  node35		29.421		40.159		64.220
  node36		29.576		24.721		23.285
  node37		66.807		96.939		79.652
  node38		20.060		84.540		73.142
  node39		3.948		98.141		8.106
  node40		9.051		82.166		49.040
  node41		2.116		31.601		44.411
  node42		28.738		72.258		53.053
  node43		10.707		83.425		89.714
  node44		2.776		29.763		19.027
  node45		47.759		64.596		29.709
  node46		35.175		4.078		25.207
  node47		37.459		0.376		72.807
  node48		21.968		54.786		4.949
  node49		51.306		93.058		14.851
  node50		58.735		73.810		59.301
