params:
  capacity 50.000
nodes:
  node01		5.315		52.022		20.333
  node02		5.977		77.517		78.511
  node03		24.203		2.418		74.124
  node04		34.144		26.764		37.722
  node05		30.067		43.239		16.398
  node06		44.770		62.238		30.951
  node07		42.396		65.466		65.125
  node08		40.293		99.288		60.143
  node09		39.557		68.473		77.211
  node10		31.893		68.258		75.435
  node11		13.527		93.037		7.663
  node12		40.260		61.215		97.178
  node13		10.327		64.640		42.576
  node14		29.942		6.867		40.630
  node15		41.018		13.321		54.055
  node16		31.344		6.505		32.567
  node17		35.071		29.711		29.086
  node18		19.484		47.971		90.320
  node19		14.666		75.495		76.201
  node20		7.552		88.145		45.456
  node21		49.023		41.907		9.015
  node22		6.477		54.908		53.349
  node23		33.240		2.867		70.195
  node24		29.419		82.582		56.687
  node25		21.949		90.136		18.494
  node26		11.976		97.800		32.613
  node27		41.812		65.501		97.340
  node28		17.744		58.283		93.357
  node29		35.203		23.567		91.349
  node30		11.379		83.129		66.716
  node31		9.102		26.215		35.173
  node32		15.475		79.302		6.160
  node33		44.377		49.335		43.569
  node34		8.930		86.608		7.830
  node35		30.678		61.435		1.656
  node36		15.898		11.265		76.196
  node37		48.578		74.157		81.581
  node38		12.205		56.565		97.196
  node39		47.224		68.241		35.839
  node40		49.920		32.436		26.824
  node41		42.647		3.993		58.559
  node42		20.097		2.199		46.186
  node43		16.155		55.890		95.981
  node44		37.051		51.450		15.703
  node45		42.611		44.263		96.694
  node46		12.292		35.657		13.167
  node47		24.417		86.098		23.434
  node48		42.261		54.763		85.626
  node49		47.220		68.632		41.173
  node50		1.351		60.641		77.875
