params:
  capacity 50.000
nodes:
  node001		23.005		71.561		47.308
  node002		6.196		9.396		77.383
  node003		18.744		1.567		25.165
  node004		26.661		95.383		59.978
  node005		15.665		88.010		25.236
  node006		1.758		42.234		62.140
  node007		46.551		98.639		44.156
  node008		49.642		36.056		77.949
  node009		9.194		31.600		99.358
  node010		29.469		75.682		86.740
  node011		10.589		94.881		44.529
  node012		39.035		96.027		93.052
  node013		38.075		28.697		50.903
  node014		5.801		12.097		54.497
  node015		40.970		81.549		12.560
  node016		19.135		76.209		43.777
  node017		35.208		67.350		45.689
  node018		0.200		68.904		56.690
  node019		14.025		0.282		99.427
  node020		5.306		18.393		80.235
  node021		48.862		31.708		26.424
  node022		48.088		12.805		24.393
  node023		41.306		27.968		85.990
  node024		6.578		81.885		44.255
  node025		44.791		17.049		93.767
  node026		33.339		83.455		10.055
  node027		32.369		67.450		5.721
  node028		30.989		27.693		19.459
  node029		18.231		57.812		15.457
  node030		49.270		13.463		16.442
  node031		30.819		14.172		85.572
  node032		8.193		48.104		25.114
  node033		49.775		62.976		90.958
  node034		47.603		25.786		16.830
  node035		8.389		30.826		46.851
  node036		3.578		87.200		1.470
  node037		25.431		59.237		98.097
  node038		19.445		67.981		73.529
  node039		34.572		94.075		72.512
  node040		36.831		1.630		3.428
  node041		3.769		6.103		75.365
  node042		26.157		8.507		52.445
  node043		10.712		37.741		33.807
  node044		31.322		4.714		83.061
  node045		46.543		59.680		9.618
  node046		24.245		55.789		59.189
  node047		12.352		69.296		3.352
  node048		9.525		90.803		75.665
  node049		48.426		28.272		84.575
  node050		7.614		11.821		7.651
  node051		15.558		33.025		8.615
  node052		5.029		10.893		36.768
  node053		46.555		20.224		92.881
  node054		8.330		15.997		47.062
  node055		42.765		79.886		54.227
  node056		45.333		59.689		9.027
  node057		46.322		22.759		85.845
  node058		21.379		91.807		28.872
  node059		31.907		98.324		13.310
  node060		35.623		5.392		43.381
  node061		17.013		61.658		31.836
  node062		3.158		71.025		90.766
  node063		12.124		13.204		25.712
  node064		10.391		5.226		0.966
  node065		40.326		4.099		54.175
  node066		35.534		87.869		0.605
  node067		43.755		69.618		45.614
  node068		22.805		85.328		15.707
  node069		21.815		21.420		81.025
  node070		15.397		45.891		33.763
  node071		14.550		79.509		10.158
  node072		6.056		54.643		11.342
  node073		34.031		54.211		99.625
  node074		31.265		32.996		26.033
  node075		10.948		68.190		80.361
  node076		14.494		52.490		84.309
  node077		19.551		15.893		36.399
  node078		47.010		29.103		72.631
  node079		46.588		25.999		33.608
  node080		35.722		4.413		92.352
  node081		18.315		69.169		33.775
  node082		19.703		59.997		65.916
  node083		33.115		70.287		55.623
  node084		5.431		89.469		80.352
  node085		38.220		73.614		66.443
  node086		4.873		35.186		73.560
  node087		31.651		77.472		1.410
  node088		25.162		88.108		45.982
  node089		9.055		83.875		74.779
  node090		1.086		89.740		53.763
  node091		9.283		46.179		12.434
  node092		25.191		19.736		19.167
  node093		44.730		74.208		87.034
  node094		34.136		3.879		38.369
  node095		27.314		52.556		43.920
  node096		2.163		40.705		67.282
  node097		21.724		84.463		60.451
  node098		18.665		14.344		73.195
  node099		8.935		76.617		59.029
  node100		40.648		20.873		61.041
