params:
  capacity 400
nodes:
  node01		6.911		1.741		1.844
  node02		31.576		1.350		6.640
  node03		37.608		-5.373		-5.584
  node04		9.901		-8.511		-1.358
  node05		9.737		-1.491		-3.982
  node06		40.461		1.098		5.121
  node07		30.858		6.059		7.438
  node08		29.316		8.649		-5.974
  node09		13.422		-3.339		6.666
  node10		23.115		-3.510		-3.836
  node11		1.843		1.609		5.028
  node12		12.972		5.101		-0.239
  node13		37.984		-7.577		2.191
  node14		31.043		-7.064		0.003
  node15		12.350		-5.279		-7.268
  node16		28.718		2.270		2.059
  node17		10.432		9.884		6.926
  node18		34.548		-5.035		-4.805
  node19		7.599		-8.561		3.891
  node20		16.721		8.208		-4.918
  node21		27.285		9.507		-4.990
  node22		39.618		-3.370		-2.041
  node23		37.173		-8.944		-2.538
  node24		7.708		-6.808		1.237
  node25		34.294		-5.991		-5.976
  node26		19.164		-4.961		-1.976
  node27		38.642		3.146		6.165
  node28		26.272		8.680		5.738
  node29		16.911		1.063		-3.976
  node30		40.445		8.305		1.582
  node31		44.863		9.409		4.649
  node32		15.630		-2.679		7.300
  node33		3.264		-2.695		4.295
  node34		24.868		8.678		7.235
  node35		2.685		7.443		1.712
  node36		8.663		-3.593		7.585
  node37		10.097		4.137		-2.928
  node38		28.906		1.006		-2.276
  node39		43.248		-7.253		-7.395
  node40		7.048		0.514		2.063
  node41		39.778		-7.557		2.372
  node42		14.597		6.155		2.503
  node43		14.055		0.429		-6.146
  node44		17.027		7.392		0.270
  node45		5.061		-5.019		-0.684
  node46		15.414		1.324		-0.229
  node47		12.929		-0.334		1.209
  node48		45.050		-0.919		5.371
  node49		36.438		-1.653		-0.142
  node50		13.147		1.134		5.682
